date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M
2023-01-01,16.74,23.21,11.38,0.0,73.99
2023-01-02,17.14,23.72,11.38,0.0,72.81
2023-01-03,16.93,23.97,11.91,0.0,77.01
2023-01-04,15.86,23.04,10.49,0.0,80.78
2023-01-05,15.93,23.89,9.79,0.0,78.54
2023-01-06,16.3,24.64,9.78,0.03,78.24
2023-01-07,17.1,25.15,10.27,0.0,79.76
2023-01-08,17.98,26.41,10.81,0.0,75.84
2023-01-09,18.62,26.91,12.03,0.0,73.05
2023-01-10,18.53,26.95,12.3,0.0,71.19
2023-01-11,17.0,24.85,10.81,0.0,67.41
2023-01-12,16.02,23.29,9.74,0.0,67.29
2023-01-13,17.87,24.83,10.57,0.0,61.69
2023-01-14,18.62,25.5,11.83,0.0,69.78
2023-01-15,18.46,24.93,14.44,0.0,73.58
2023-01-16,17.22,24.16,11.79,0.0,70.39
2023-01-17,16.37,23.74,10.67,0.0,69.68
2023-01-18,15.62,22.78,9.7,0.0,63.02
2023-01-19,14.99,22.55,8.88,0.0,61.4
2023-01-20,15.66,23.05,9.89,0.0,63.48
2023-01-21,17.03,24.28,9.89,9.44,66.06
2023-01-22,17.88,25.16,10.69,0.0,63.02
2023-01-23,18.58,25.92,11.3,0.0,68.56
2023-01-24,19.39,27.56,12.61,0.0,69.04
2023-01-25,20.27,27.68,13.1,0.0,66.98
2023-01-26,21.03,28.12,14.37,0.0,66.96
2023-01-27,21.22,27.76,15.15,0.0,70.82
2023-01-28,21.01,27.69,15.56,0.0,71.98
2023-01-29,19.89,27.42,13.28,0.0,68.0
2023-01-30,20.93,29.16,13.73,0.0,66.14
2023-01-31,21.6,28.29,16.29,0.0,69.72
2023-02-01,21.06,27.61,16.09,0.0,61.41
2023-02-02,18.55,26.79,11.25,0.0,57.11
2023-02-03,18.62,27.23,11.44,0.0,62.69
2023-02-04,18.95,26.47,11.96,0.0,61.52
2023-02-05,19.93,27.06,14.87,0.0,51.8
2023-02-06,21.01,27.63,15.17,0.0,46.34
2023-02-07,20.88,28.14,13.3,0.0,53.29
